metric_group,log_name,metric,value,unit,value_numeric
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_521,2703628,points,2703628.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_522,2710488,points,2710488.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_523,2717081,points,2717081.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_524,2722568,points,2722568.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_525,2726168,points,2726168.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_526,2728599,points,2728599.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_527,2736734,points,2736734.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_528,2741162,points,2741162.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_529,2745905,points,2745905.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_530,2748384,points,2748384.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_531,2749887,points,2749887.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_532,2752425,points,2752425.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_533,2753568,points,2753568.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_534,2754161,points,2754161.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_535,2754495,points,2754495.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_536,2754633,points,2754633.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_537,2754725,points,2754725.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_538,2754905,points,2754905.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_539,2762482,points,2762482.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_540,2764395,points,2764395.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_541,2765122,points,2765122.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_542,2766003,points,2766003.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_543,2766874,points,2766874.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_544,2767050,points,2767050.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_545,2767120,points,2767120.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_546,2767156,points,2767156.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_547,2767157,points,2767157.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_548,2767157,points,2767157.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_549,2767904,points,2767904.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_550,2772627,points,2772627.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_551,2773965,points,2773965.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_552,2774498,points,2774498.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_553,2774667,points,2774667.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_554,2774805,points,2774805.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_555,2774821,points,2774821.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_556,2774825,points,2774825.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_557,2774825,points,2774825.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_558,2774825,points,2774825.0
