"FullName","SizeMB","LastWriteTime","RelevanceScore","Signals","HybridDatasetConfirmed"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\splatfacto-full\train-splatfacto-full-ds4.log","0.017","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\splatfacto-full\train-splatfacto-full.log","0.011","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\splatfacto-full\export-splat-ds8.log","0.006","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji\09_ffmpeg_splatfacto_video.log","0.006","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji\08_render_splatfacto_dataset.log","0.002","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji\10_export_gaussian_splat_ply.log","0.001","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\01_realityscan_alignment.log","0.001","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\06_ffmpeg_nerfacto_video.log","0.006","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\07_train_splatfacto.log","4.325","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\08_render_splatfacto_dataset.log","0.002","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\04_train_nerfacto.log","4.316","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\05_render_nerfacto_dataset.log","0.002","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\10_export_gaussian_splat_ply.log","0.001","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\00_dataset_info.log","0.001","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\99_experiment_summary.log","0.001","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\insta360\09_ffmpeg_splatfacto_video.log","0.006","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\00-resumen\experiment-summary-insta360.txt","0.001","8/25/2026 11:00:27 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\00-resumen\experiment-summary-dji.txt","0.004","8/25/2026 11:00:27 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\01-logs\dji-only\colmap\ns-process-data-colmap.log","0.001","8/25/2026 11:00:14 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\01-logs\12_train_nerfacto_realityscan_insta360.log","4.478","8/25/2026 11:00:13 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\02-templete-central\00-resumen\experiment-summary-dji.txt","0.003","8/25/2026 11:00:13 AM","4","PATH_DJI;CONTENT_DJI","False"
